tab,tabLabel,category,name,description,price,visible
cosmetology,Косметология,Очищение,Ультразвуковая чистка лица,,€40,yes
cosmetology,Косметология,Очищение,Комбинированная чистка лица,,€45,yes
cosmetology,Косметология,Очищение,Чистка спины,,€55–60,yes
cosmetology,Косметология,Увлажнение,HydraFacial,,€90,yes
cosmetology,Косметология,Терапия,Терапия периорбитальной зоны,,€40,yes
cosmetology,Косметология,Лифтинг,RF лифтинг лица,,€40,yes
cosmetology,Косметология,Лифтинг,RF лифтинг шея + декольте,,€40,yes
cosmetology,Косметология,Лифтинг,RF лифтинг глаза,,€25,yes
cosmetology,Косметология,Стимуляция,Микротоковая терапия лица (30 мин),,€25,yes
cosmetology,Косметология,Стимуляция,Микротоковая + шея и декольте (45 мин),,€35,yes
cosmetology,Косметология,Мезотерапия,Карбокситерапия (Pelart Laboratory),,€60,yes
cosmetology,Косметология,Мезотерапия,Безынъекционная мезотерапия — лицо,,€55,yes
cosmetology,Косметология,Кислород,Кислородная терапия (30 мин),,€35,yes
cosmetology,Косметология,Массаж,БМС массаж,,€45,yes
microneedling,Микронидлинг,Базовый,Микронидлинг с ампулой — лицо,,€55,yes
microneedling,Микронидлинг,Базовый,С ампулой шея + декольте,,€80,yes
microneedling,Микронидлинг,Тело,Тело (1 зона) с гиалуроновой кислотой,,€80,yes
microneedling,Микронидлинг,Руки,Кисти рук с гиалур. кислотой,,€40,yes
microneedling,Микронидлинг,Губы,Микронидлинг для губ (Perfect Rose Lips),,€45,yes
microneedling,Микронидлинг,Специальный,С ботулоэффектом,,€60,yes
microneedling,Микронидлинг,Экзосомы,С EXOSOME лицо/шея/декольте,,€160,yes
microneedling,Микронидлинг,Гормоны,С фитоэстрогенами (менопауза),,€60,yes
microneedling,Микронидлинг,Объём,С VOLUFILIN (эффект липофилинга),,€110,yes
microneedling,Микронидлинг,Регенерация,С PDRN / полинуклеотиды,,€65,yes
microneedling,Микронидлинг,Алопеция,Микронидлинг при алопеции — с сывороткой,,€60,yes
microneedling,Микронидлинг,Алопеция,Микронидлинг при алопеции — с экзосомами,,€160,yes
peelings,Пилинги,PRX-T33,PRX-T33 лицо,,€55,yes
peelings,Пилинги,PRX-T33,PRX-T33 лицо + шея,,€75,yes
peelings,Пилинги,BioRePeel,BioRePeel лицо,,€55,yes
peelings,Пилинги,BioRePeel,BioRePeel лицо + шея + декольте,,€75,yes
peelings,Пилинги,BioRePeel,BioRePeel тело (1 зона),,€60,yes
peelings,Пилинги,BioRePeel,"BioRePeel колени, локти",,€45,yes
peelings,Пилинги,Карбоновый,Карбоновый пилинг лицо,,€45,yes
peelings,Пилинги,Карбоновый,Карбоновый лицо + шея + декольте,,€85,yes
peelings,Пилинги,Комбо,Дермапен + BioRePeel (лечение постакне),Лицо,€105,yes
epilation,Фотоэпиляция,Ноги,Фотоэпиляция ноги до колена,,€35,yes
epilation,Фотоэпиляция,Ноги,Фотоэпиляция ноги полностью,,€60,yes
epilation,Фотоэпиляция,Бикини,Бикини внешнее,,€20,yes
epilation,Фотоэпиляция,Бикини,Бикини глубокое,,€45,yes
epilation,Фотоэпиляция,Тело,Подмышки,,€20,yes
epilation,Фотоэпиляция,Руки,Руки до локтя,,€25,yes
epilation,Фотоэпиляция,Лицо,Лицо полностью,,€25,yes
epilation,Фотоэпиляция,IPL,Фотоомоложение лицо (IPL),,€30,yes
epilation,Фотоэпиляция,IPL,IPL лечение акне — лицо,,€30,yes
epilation,Фотоэпиляция,IPL,IPL лечение розацеа — лицо,,€30,yes
body,Тело,RF,RF лифтинг (1 зона / 30 мин),,€30,yes
body,Тело,Массаж,Горячий вакуумный массаж (1 зона / 20 мин),,€25,yes
body,Тело,Липосакция,Липолазер / лазерная липосакция (30 мин),,€15,yes
body,Тело,Кавитация,Кавитация / ультразвуковая (1 зона / 30 мин),,€20,yes
body,Тело,Курс RF,RF лифтинг — 7 процедур,Скидка 10% при покупке курса,€190,yes
body,Тело,Курс Массаж,Горячий вакуумный массаж — 10 процедур,,€200,yes
lux,LUX процедуры,EMS+RF MESO,"4D booster (Elastin, Collagen, HA, Q10)",Глубинная безыгольная мезотерапия + RF лифтинг,€90,yes
lux,LUX процедуры,EMS+RF MESO,"Регенерация 35+, 45+, 50+",,€90,yes
lux,LUX процедуры,EMS+RF MESO,"Лечение розацеа, дерматита, чувствительной кожи",,€80,yes
lux,LUX процедуры,EMS+RF MESO,Лечение акне,,€85,yes
lux,LUX процедуры,SQT Bio,Revitalizing Beauty Therapy,Обновление и биоревитализация кожи,€90,yes
lux,LUX процедуры,SQT Bio,Anti-Aging REJUVENATION,"Омоложение, борьба с морщинами и тургором",€120,yes
lux,LUX процедуры,Экзосомы,"EXOSOMES лицо, шея, декольте",Неинвазивно при помощи микронидлинга,€160,yes
lux,LUX процедуры,Филлеры,Коррекция объёма филлеров — губы (4 процедуры),Снятие гиалуроновых отёков,€240,yes
